n_segments: 32, alphabet_size: 4, set_heads: 1, test_acc: 87.392; val_acc: 91.441
n_segments: 32, alphabet_size: 4, set_heads: 2, test_acc: 86.960; val_acc: 91.441
n_segments: 32, alphabet_size: 4, set_heads: 4, test_acc: 86.528; val_acc: 90.991
n_segments: 32, alphabet_size: 4, set_heads: 8, test_acc: 87.219; val_acc: 91.441
n_segments: 32, alphabet_size: 4, set_heads: 16, test_acc: 87.219; val_acc: 91.441
n_segments: 32, alphabet_size: 6, set_heads: 1, test_acc: 68.739; val_acc: 68.468
n_segments: 32, alphabet_size: 6, set_heads: 2, test_acc: 70.294; val_acc: 74.324
n_segments: 32, alphabet_size: 6, set_heads: 4, test_acc: 71.071; val_acc: 76.577
n_segments: 32, alphabet_size: 6, set_heads: 8, test_acc: 70.380; val_acc: 75.676
n_segments: 32, alphabet_size: 6, set_heads: 16, test_acc: 69.516; val_acc: 74.324
n_segments: 32, alphabet_size: 8, set_heads: 1, test_acc: 86.097; val_acc: 88.739
n_segments: 32, alphabet_size: 8, set_heads: 2, test_acc: 85.492; val_acc: 92.342
n_segments: 32, alphabet_size: 8, set_heads: 4, test_acc: 84.888; val_acc: 92.793
n_segments: 32, alphabet_size: 8, set_heads: 8, test_acc: 86.615; val_acc: 92.342
n_segments: 32, alphabet_size: 8, set_heads: 16, test_acc: 85.579; val_acc: 91.892
n_segments: 32, alphabet_size: 10, set_heads: 1, test_acc: 93.955; val_acc: 93.243
n_segments: 32, alphabet_size: 10, set_heads: 2, test_acc: 93.869; val_acc: 92.793
n_segments: 32, alphabet_size: 10, set_heads: 4, test_acc: 93.610; val_acc: 92.793
n_segments: 32, alphabet_size: 10, set_heads: 8, test_acc: 94.473; val_acc: 93.243
n_segments: 32, alphabet_size: 10, set_heads: 16, test_acc: 93.523; val_acc: 92.342
n_segments: 64, alphabet_size: 4, set_heads: 1, test_acc: 76.943; val_acc: 87.838
n_segments: 64, alphabet_size: 4, set_heads: 2, test_acc: 77.893; val_acc: 90.090
n_segments: 64, alphabet_size: 4, set_heads: 4, test_acc: 75.475; val_acc: 85.586
n_segments: 64, alphabet_size: 4, set_heads: 8, test_acc: 75.216; val_acc: 85.586
n_segments: 64, alphabet_size: 4, set_heads: 16, test_acc: 81.347; val_acc: 89.640
n_segments: 64, alphabet_size: 6, set_heads: 1, test_acc: 79.706; val_acc: 79.279
n_segments: 64, alphabet_size: 6, set_heads: 2, test_acc: 78.584; val_acc: 79.730
n_segments: 64, alphabet_size: 6, set_heads: 4, test_acc: 79.965; val_acc: 79.279
n_segments: 64, alphabet_size: 6, set_heads: 8, test_acc: 80.052; val_acc: 79.730
n_segments: 64, alphabet_size: 6, set_heads: 16, test_acc: 78.929; val_acc: 78.829
n_segments: 64, alphabet_size: 8, set_heads: 1, test_acc: 79.879; val_acc: 90.541
n_segments: 64, alphabet_size: 8, set_heads: 2, test_acc: 76.770; val_acc: 89.189
n_segments: 64, alphabet_size: 8, set_heads: 4, test_acc: 78.497; val_acc: 91.892
n_segments: 64, alphabet_size: 8, set_heads: 8, test_acc: 79.275; val_acc: 90.541
n_segments: 64, alphabet_size: 8, set_heads: 16, test_acc: 80.138; val_acc: 91.892
n_segments: 64, alphabet_size: 10, set_heads: 1, test_acc: 90.415; val_acc: 95.045
n_segments: 64, alphabet_size: 10, set_heads: 2, test_acc: 90.846; val_acc: 95.045
n_segments: 64, alphabet_size: 10, set_heads: 4, test_acc: 91.105; val_acc: 93.243
n_segments: 64, alphabet_size: 10, set_heads: 8, test_acc: 90.328; val_acc: 94.144
n_segments: 64, alphabet_size: 10, set_heads: 16, test_acc: 90.501; val_acc: 92.793
n_segments: 128, alphabet_size: 4, set_heads: 1, test_acc: 94.646; val_acc: 87.838
n_segments: 128, alphabet_size: 4, set_heads: 2, test_acc: 94.473; val_acc: 87.838
n_segments: 128, alphabet_size: 4, set_heads: 4, test_acc: 94.819; val_acc: 87.838
n_segments: 128, alphabet_size: 4, set_heads: 8, test_acc: 94.560; val_acc: 87.838
n_segments: 128, alphabet_size: 4, set_heads: 16, test_acc: 94.646; val_acc: 87.838
n_segments: 128, alphabet_size: 6, set_heads: 1, test_acc: 70.812; val_acc: 84.234
n_segments: 128, alphabet_size: 6, set_heads: 2, test_acc: 69.085; val_acc: 84.234
n_segments: 128, alphabet_size: 6, set_heads: 4, test_acc: 68.998; val_acc: 82.432
n_segments: 128, alphabet_size: 6, set_heads: 8, test_acc: 67.703; val_acc: 79.730
n_segments: 128, alphabet_size: 6, set_heads: 16, test_acc: 68.135; val_acc: 81.081
n_segments: 128, alphabet_size: 8, set_heads: 1, test_acc: 89.206; val_acc: 90.541
n_segments: 128, alphabet_size: 8, set_heads: 2, test_acc: 90.069; val_acc: 90.090
n_segments: 128, alphabet_size: 8, set_heads: 4, test_acc: 90.155; val_acc: 90.090
n_segments: 128, alphabet_size: 8, set_heads: 8, test_acc: 88.428; val_acc: 89.189
n_segments: 128, alphabet_size: 8, set_heads: 16, test_acc: 90.587; val_acc: 90.991
n_segments: 128, alphabet_size: 10, set_heads: 1, test_acc: 94.646; val_acc: 95.946
n_segments: 128, alphabet_size: 10, set_heads: 2, test_acc: 94.301; val_acc: 95.946
n_segments: 128, alphabet_size: 10, set_heads: 4, test_acc: 95.078; val_acc: 95.946
n_segments: 128, alphabet_size: 10, set_heads: 8, test_acc: 94.732; val_acc: 95.946
n_segments: 128, alphabet_size: 10, set_heads: 16, test_acc: 94.041; val_acc: 95.946
n_segments: 256, alphabet_size: 4, set_heads: 1, test_acc: 92.660; val_acc: 90.541
n_segments: 256, alphabet_size: 4, set_heads: 2, test_acc: 93.437; val_acc: 91.441
n_segments: 256, alphabet_size: 4, set_heads: 4, test_acc: 92.228; val_acc: 89.189
n_segments: 256, alphabet_size: 4, set_heads: 8, test_acc: 94.214; val_acc: 91.892
n_segments: 256, alphabet_size: 4, set_heads: 16, test_acc: 93.696; val_acc: 91.441
n_segments: 256, alphabet_size: 6, set_heads: 1, test_acc: 70.035; val_acc: 78.829
n_segments: 256, alphabet_size: 6, set_heads: 2, test_acc: 70.121; val_acc: 80.180
n_segments: 256, alphabet_size: 6, set_heads: 4, test_acc: 70.984; val_acc: 79.730
n_segments: 256, alphabet_size: 6, set_heads: 8, test_acc: 65.803; val_acc: 76.577
n_segments: 256, alphabet_size: 6, set_heads: 16, test_acc: 70.725; val_acc: 79.730
n_segments: 256, alphabet_size: 8, set_heads: 1, test_acc: 88.860; val_acc: 91.441
n_segments: 256, alphabet_size: 8, set_heads: 2, test_acc: 89.896; val_acc: 91.892
n_segments: 256, alphabet_size: 8, set_heads: 4, test_acc: 89.119; val_acc: 91.892
n_segments: 256, alphabet_size: 8, set_heads: 8, test_acc: 89.465; val_acc: 91.892
n_segments: 256, alphabet_size: 8, set_heads: 16, test_acc: 90.242; val_acc: 91.892
n_segments: 256, alphabet_size: 10, set_heads: 1, test_acc: 93.869; val_acc: 97.297
n_segments: 256, alphabet_size: 10, set_heads: 2, test_acc: 93.523; val_acc: 96.847
n_segments: 256, alphabet_size: 10, set_heads: 4, test_acc: 94.991; val_acc: 96.847
n_segments: 256, alphabet_size: 10, set_heads: 8, test_acc: 93.869; val_acc: 96.847
n_segments: 256, alphabet_size: 10, set_heads: 16, test_acc: 95.164; val_acc: 96.847
