n_segments,alphabet_size,test_acc
4,4,58.72 ± 0.00
4,8,58.50 ± 0.45
4,16,61.19 ± 7.64
4,32,73.45 ± 0.62
4,64,72.90 ± 0.60
8,4,50.28 ± 0.14
8,8,62.12 ± 2.26
8,16,80.14 ± 0.43
8,32,82.37 ± 0.28
8,64,85.92 ± 0.36
16,4,69.22 ± 2.92
16,8,80.54 ± 2.32
16,16,92.66 ± 0.38
16,32,93.28 ± 0.63
16,64,96.77 ± 0.22
32,4,86.84 ± 0.38
32,8,84.35 ± 1.48
32,16,91.11 ± 0.31
32,32,98.79 ± 0.15
32,64,98.31 ± 0.19
64,4,76.34 ± 1.28
64,8,80.24 ± 1.43
64,16,90.28 ± 1.35
64,32,94.63 ± 0.43
64,64,95.54 ± 0.64
128,4,93.89 ± 1.16
128,8,90.64 ± 0.97
128,16,97.31 ± 0.31
128,32,97.88 ± 0.14
128,64,97.53 ± 0.29
256,4,93.96 ± 0.76
256,8,90.48 ± 0.63
256,16,97.98 ± 0.28
256,32,97.63 ± 0.09
256,64,97.43 ± 0.18
512,4,94.77 ± 0.31
512,8,89.86 ± 0.70
512,16,97.48 ± 0.40
512,32,97.93 ± 0.11
512,64,97.88 ± 0.18
