n_segments,alphabet_size,test_acc
4,4,58.72
4,8,58.50
4,16,61.19
4,32,73.45
4,64,72.90
8,4,50.28
8,8,62.12
8,16,80.14
8,32,82.37
8,64,85.92
16,4,69.22
16,8,80.54
16,16,92.66
16,32,93.28
16,64,96.77
32,4,86.84
32,8,84.35
32,16,91.11
32,32,98.79
32,64,98.31
64,4,76.34
64,8,80.24
64,16,90.28
64,32,94.63
64,64,95.54
128,4,93.89
128,8,90.64
128,16,97.31
128,32,97.88
128,64,97.53
256,4,93.96
256,8,90.48
256,16,97.98
256,32,97.63
256,64,97.43
512,4,94.77
512,8,89.86
512,16,97.48
512,32,97.93
512,64,97.88
