feature_name;count
change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.6;29
fft_coefficient__attr_"real"__coeff_34;80
c3__lag_1;16
fft_coefficient__attr_"angle"__coeff_1;67
fft_coefficient__attr_"abs"__coeff_34;69
fft_aggregated__aggtype_"variance";62
fft_coefficient__attr_"abs"__coeff_55;187
fft_coefficient__attr_"angle"__coeff_28;31
fft_coefficient__attr_"real"__coeff_7;3
change_quantiles__f_agg_"mean"__isabs_False__qh_0.8__ql_0.2;1
fft_coefficient__attr_"real"__coeff_55;187
fft_coefficient__attr_"imag"__coeff_57;161
fft_coefficient__attr_"abs"__coeff_56;180
fft_coefficient__attr_"abs"__coeff_57;163
fourier_entropy__bins_5;69
linear_trend__attr_"pvalue";95
autocorrelation__lag_8;178
energy_ratio_by_chunks__num_segments_10__segment_focus_8;145
agg_autocorrelation__f_agg_"var"__maxlag_40;157
fft_coefficient__attr_"abs"__coeff_58;121
change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.6;36
agg_autocorrelation__f_agg_"median"__maxlag_40;9
index_mass_quantile__q_0.7;25
change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.4;20
change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.4;25
fft_coefficient__attr_"real"__coeff_56;13
fft_coefficient__attr_"imag"__coeff_11;39
agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"var";48
fft_coefficient__attr_"imag"__coeff_22;6
fourier_entropy__bins_3;22
quantile__q_0.4;33
fft_coefficient__attr_"imag"__coeff_26;33
fft_coefficient__attr_"imag"__coeff_7;1
fft_coefficient__attr_"angle"__coeff_2;27
fft_coefficient__attr_"real"__coeff_29;130
fft_coefficient__attr_"angle"__coeff_32;15
fft_coefficient__attr_"real"__coeff_60;14
fft_coefficient__attr_"abs"__coeff_66;17
number_crossing_m__m_0;7
fft_coefficient__attr_"abs"__coeff_29;70
change_quantiles__f_agg_"var"__isabs_False__qh_0.2__ql_0.0;13
count_below_mean;11
ratio_beyond_r_sigma__r_1.5;15
energy_ratio_by_chunks__num_segments_10__segment_focus_9;14
cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20);17
index_mass_quantile__q_0.2;22
fft_coefficient__attr_"angle"__coeff_0;15
fft_coefficient__attr_"abs"__coeff_22;3
kurtosis;13
change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.8;6
fft_coefficient__attr_"abs"__coeff_7;9
change_quantiles__f_agg_"mean"__isabs_False__qh_0.2__ql_0.0;2
fft_coefficient__attr_"abs"__coeff_11;13
fft_coefficient__attr_"abs"__coeff_32;12
change_quantiles__f_agg_"var"__isabs_True__qh_0.4__ql_0.2;17
cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20);2
agg_linear_trend__attr_"intercept"__chunk_len_5__f_agg_"min";2
change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.2;5
agg_linear_trend__attr_"intercept"__chunk_len_5__f_agg_"max";3
linear_trend__attr_"rvalue";7
spkt_welch_density__coeff_2;1
fft_coefficient__attr_"abs"__coeff_43;2
variance;3
friedrich_coefficients__coeff_3__m_3__r_30;1
fft_coefficient__attr_"imag"__coeff_43;5
fft_coefficient__attr_"abs"__coeff_14;2
number_peaks__n_3;1
energy_ratio_by_chunks__num_segments_10__segment_focus_0;5
change_quantiles__f_agg_"mean"__isabs_False__qh_0.4__ql_0.2;6
agg_autocorrelation__f_agg_"mean"__maxlag_40;1
partial_autocorrelation__lag_3;4
fft_coefficient__attr_"abs"__coeff_63;6
time_reversal_asymmetry_statistic__lag_3;1
time_reversal_asymmetry_statistic__lag_1;3
agg_linear_trend__attr_"slope"__chunk_len_5__f_agg_"max";1
fft_coefficient__attr_"abs"__coeff_59;1
partial_autocorrelation__lag_2;1
friedrich_coefficients__coeff_1__m_3__r_30;1
friedrich_coefficients__coeff_0__m_3__r_30;1
lempel_ziv_complexity__bins_3;2
change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.2;1
fft_coefficient__attr_"imag"__coeff_20;2
quantile__q_0.7;2
cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20);1
fft_aggregated__aggtype_"skew";2
cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20);1
partial_autocorrelation__lag_5;1
fft_coefficient__attr_"abs"__coeff_10;2
fft_coefficient__attr_"angle"__coeff_22;3
fft_coefficient__attr_"angle"__coeff_58;1
change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.4;1
energy_ratio_by_chunks__num_segments_10__segment_focus_5;1
mean_n_absolute_max__number_of_maxima_7;1
fft_coefficient__attr_"angle"__coeff_68;1
