feature_name;count
fft_coefficient__attr_"real"__coeff_29;185
agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"var";114
fft_coefficient__attr_"abs"__coeff_11;28
fft_coefficient__attr_"real"__coeff_28;98
fft_coefficient__attr_"angle"__coeff_70;67
partial_autocorrelation__lag_4;12
fourier_entropy__bins_5;193
fft_coefficient__attr_"real"__coeff_55;193
fft_coefficient__attr_"real"__coeff_60;178
fft_coefficient__attr_"real"__coeff_77;105
fft_coefficient__attr_"abs"__coeff_57;142
fft_coefficient__attr_"imag"__coeff_44;118
fft_coefficient__attr_"angle"__coeff_28;83
fft_coefficient__attr_"imag"__coeff_19;80
fft_coefficient__attr_"angle"__coeff_60;96
fft_coefficient__attr_"real"__coeff_62;40
agg_autocorrelation__f_agg_"var"__maxlag_40;164
change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.6;69
fft_coefficient__attr_"angle"__coeff_14;100
fft_coefficient__attr_"real"__coeff_47;123
fft_coefficient__attr_"angle"__coeff_50;67
linear_trend__attr_"pvalue";11
partial_autocorrelation__lag_7;4
fft_coefficient__attr_"abs"__coeff_41;133
fft_coefficient__attr_"angle"__coeff_18;28
fft_coefficient__attr_"real"__coeff_37;42
fft_coefficient__attr_"abs"__coeff_52;90
fft_coefficient__attr_"real"__coeff_13;14
fft_coefficient__attr_"angle"__coeff_79;6
fft_coefficient__attr_"real"__coeff_58;16
fft_coefficient__attr_"angle"__coeff_22;12
fft_coefficient__attr_"real"__coeff_75;30
ratio_beyond_r_sigma__r_3;29
agg_autocorrelation__f_agg_"mean"__maxlag_40;13
fft_coefficient__attr_"abs"__coeff_14;6
fft_coefficient__attr_"real"__coeff_40;42
fft_coefficient__attr_"abs"__coeff_56;11
partial_autocorrelation__lag_5;6
fft_coefficient__attr_"abs"__coeff_42;3
partial_autocorrelation__lag_3;13
lempel_ziv_complexity__bins_3;1
percentage_of_reoccurring_values_to_all_values;17
kurtosis;1
fft_coefficient__attr_"imag"__coeff_17;6
fft_coefficient__attr_"angle"__coeff_92;5
fft_coefficient__attr_"abs"__coeff_22;2
fft_coefficient__attr_"abs"__coeff_39;2
change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.2;9
change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.6;2
change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.6;7
fft_coefficient__attr_"real"__coeff_31;10
fft_coefficient__attr_"angle"__coeff_65;8
fft_coefficient__attr_"angle"__coeff_73;2
fft_coefficient__attr_"imag"__coeff_11;3
fft_coefficient__attr_"abs"__coeff_10;2
fft_coefficient__attr_"angle"__coeff_58;8
cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20);2
sum_of_reoccurring_data_points;1
fft_coefficient__attr_"imag"__coeff_18;4
fft_coefficient__attr_"imag"__coeff_57;2
autocorrelation__lag_8;8
ar_coefficient__coeff_2__k_10;1
max_langevin_fixed_point__m_3__r_30;1
fft_coefficient__attr_"real"__coeff_43;3
fourier_entropy__bins_3;2
fft_coefficient__attr_"abs"__coeff_19;1
change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.0;2
fft_coefficient__attr_"abs"__coeff_8;1
change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.8;1
change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.8;1
fft_coefficient__attr_"angle"__coeff_33;1
fft_coefficient__attr_"angle"__coeff_32;1
partial_autocorrelation__lag_9;1
fft_coefficient__attr_"real"__coeff_9;1
ar_coefficient__coeff_5__k_10;1
friedrich_coefficients__coeff_0__m_3__r_30;1
