batch_size,set_heads,hidden_dim,val_acc,test_acc
128,4,128,100.000,82.383
128,4,256,100.000,82.038
128,4,128,100.000,77.807
128,4,256,100.000,82.988
128,4,128,100.000,80.570
128,4,256,100.000,77.375
128,8,128,100.000,79.706
128,8,256,100.000,81.779
128,8,128,100.000,83.074
128,8,256,100.000,79.016
128,8,128,100.000,76.166
128,8,256,100.000,81.779
128,16,128,100.000,83.679
128,16,256,100.000,82.729
128,16,128,100.000,77.116
128,16,256,100.000,80.484
128,16,128,100.000,77.461
128,16,256,100.000,80.225
