setting,set_heads,hidden_dim,val_acc,test_acc
slow,8,64,100.000,80.915
slow,8,128,100.000,84.974
slow,8,256,100.000,85.320
slow,16,64,100.000,83.765
slow,16,128,100.000,84.888
slow,16,256,100.000,89.292
slow,32,64,100.000,80.052
slow,32,128,100.000,85.751
slow,32,256,100.000,84.542
slow,64,64,100.000,86.701
slow,64,128,100.000,83.938
slow,64,256,100.000,87.565
mid,8,64,100.000,84.715
mid,8,128,100.000,86.615
mid,8,256,100.000,86.183
mid,16,64,100.000,81.520
mid,16,128,100.000,81.261
mid,16,256,100.000,87.565
mid,32,64,100.000,79.793
mid,32,128,100.000,89.033
mid,32,256,100.000,86.701
mid,64,64,100.000,84.715
mid,64,128,100.000,86.874
mid,64,256,100.000,83.420
