n_segments,alphabet_size,n_heads,set_transf_hidden,val_acc,test_acc
8,2,4,128,55.41 ± 0.00,50.00 ± 0.00
8,4,4,128,55.68 ± 0.63,50.10 ± 0.24
8,8,4,128,58.38 ± 5.59,54.35 ± 9.21
8,16,4,128,63.90 ± 16.73,60.90 ± 19.75
8,32,4,128,69.14 ± 21.41,65.28 ± 18.22
16,2,4,128,66.85 ± 23.69,62.73 ± 20.77
16,4,4,128,66.02 ± 24.52,64.00 ± 19.50
16,8,4,128,67.14 ± 23.40,65.80 ± 17.71
16,16,4,128,70.17 ± 24.42,68.80 ± 24.89
16,32,4,128,72.91 ± 25.74,71.24 ± 22.46
32,2,4,128,71.32 ± 27.33,69.31 ± 24.39
32,4,4,128,72.97 ± 25.68,70.77 ± 22.93
32,8,4,128,74.47 ± 24.18,71.86 ± 21.86
32,16,4,128,76.10 ± 22.55,73.23 ± 23.23
32,32,4,128,77.56 ± 22.16,74.95 ± 24.95
64,2,4,128,76.32 ± 29.47,73.66 ± 25.47
64,4,4,128,77.01 ± 30.16,73.94 ± 25.75
64,8,4,128,77.87 ± 31.03,74.31 ± 26.12
64,16,4,128,78.90 ± 32.05,75.10 ± 26.91
64,32,4,128,79.91 ± 33.06,76.06 ± 27.87
128,2,4,128,78.82 ± 31.97,74.93 ± 26.74
128,4,4,128,79.23 ± 32.38,75.79 ± 27.60
128,8,4,128,79.72 ± 32.87,76.42 ± 28.23
128,16,4,128,80.48 ± 33.63,77.28 ± 29.09
128,32,4,128,81.21 ± 34.37,78.10 ± 29.91
