n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
8,4,4,128,0.0001,56.13 ± 0.72,50.28 ± 0.28
8,8,4,128,0.0001,60.59 ± 7.43,56.20 ± 8.57
8,16,4,128,0.0001,67.06 ± 13.57,64.18 ± 16.39
8,32,4,128,0.0001,72.70 ± 18.74,68.73 ± 18.73
8,64,4,128,0.0001,76.54 ± 21.14,72.17 ± 22.17
16,4,4,128,0.0001,74.35 ± 18.95,71.68 ± 21.68
16,8,4,128,0.0001,74.50 ± 19.10,72.94 ± 22.94
16,16,4,128,0.0001,77.00 ± 21.60,75.41 ± 25.41
16,32,4,128,0.0001,79.33 ± 23.92,77.39 ± 27.39
16,64,4,128,0.0001,81.29 ± 25.88,79.33 ± 29.33
32,4,4,128,0.0001,82.19 ± 26.78,80.01 ± 30.01
32,8,4,128,0.0001,83.06 ± 27.65,80.36 ± 30.36
32,16,4,128,0.0001,84.19 ± 28.78,81.19 ± 31.19
32,32,4,128,0.0001,85.19 ± 29.79,82.45 ± 32.45
32,64,4,128,0.0001,86.13 ± 30.72,83.50 ± 33.50
64,4,4,128,0.0001,86.11 ± 30.71,83.05 ± 33.05
64,8,4,128,0.0001,86.45 ± 31.04,82.89 ± 32.89
64,16,4,128,0.0001,87.06 ± 31.66,83.30 ± 33.30
64,32,4,128,0.0001,87.69 ± 32.29,83.90 ± 33.90
64,64,4,128,0.0001,88.24 ± 32.84,84.48 ± 34.48
128,4,4,128,0.0001,88.23 ± 32.83,84.93 ± 34.93
128,8,4,128,0.0001,88.33 ± 32.92,85.19 ± 35.19
128,16,4,128,0.0001,88.74 ± 33.34,85.71 ± 35.71
128,32,4,128,0.0001,89.16 ± 33.75,86.22 ± 36.22
128,64,4,128,0.0001,89.54 ± 34.13,86.67 ± 36.67
