n_segments,alphabet_size,n_heads,set_transf_hidden,xil,xil_weight,val_acc,test_acc
16,4,4,128,True,0.1,67.36 ± 18.97,47.53 ± 6.01
16,8,4,128,True,0.1,62.77 ± 10.39,25.66 ± 14.71
16,16,4,128,True,0.1,87.88 ± 3.72,47.87 ± 9.85
16,32,4,128,True,0.1,86.84 ± 1.12,41.03 ± 7.84
16,64,4,128,True,0.1,86.58 ± 1.86,40.31 ± 10.60
32,4,4,128,True,0.1,83.20 ± 11.91,64.09 ± 3.99
32,8,4,128,True,0.1,76.54 ± 0.64,15.48 ± 1.25
32,16,4,128,True,0.1,84.24 ± 2.30,33.87 ± 7.24
32,32,4,128,True,0.1,86.58 ± 0.47,39.42 ± 2.29
32,64,4,128,True,0.1,88.14 ± 3.10,41.71 ± 4.16
64,4,4,128,True,0.1,61.90 ± 7.75,73.87 ± 10.41
64,8,4,128,True,0.1,76.62 ± 0.91,16.05 ± 1.27
64,16,4,128,True,0.1,83.29 ± 0.59,31.41 ± 3.29
64,32,4,128,True,0.1,84.85 ± 1.06,30.86 ± 1.65
64,64,4,128,True,0.1,84.33 ± 0.69,25.93 ± 2.08
128,4,4,128,True,0.1,82.25 ± 7.60,92.76 ± 5.16
128,8,4,128,True,0.1,80.43 ± 1.58,28.16 ± 4.83
128,16,4,128,True,0.1,86.15 ± 0.95,32.14 ± 4.11
128,32,4,128,True,0.1,87.10 ± 1.46,36.76 ± 2.56
128,64,4,128,True,0.1,88.14 ± 1.18,31.14 ± 3.82
256,4,4,128,True,0.1,86.84 ± 3.06,94.97 ± 2.47
256,8,4,128,True,0.1,85.89 ± 2.66,48.56 ± 13.78
256,16,4,128,True,0.1,89.96 ± 1.61,37.37 ± 5.37
256,32,4,128,True,0.1,89.00 ± 0.70,34.36 ± 2.74
256,64,4,128,True,0.1,89.52 ± 1.46,32.13 ± 5.94
