n_segments,alphabet_size,n_heads,set_transf_hidden,xil,xil_weight,val_acc,test_acc
16,4,4,128,False,0.1,90.48 ± 0.00,23.32 ± 8.43
16,8,4,128,False,0.1,91.08 ± 0.85,19.44 ± 1.27
16,16,4,128,False,0.1,97.40 ± 0.00,68.36 ± 0.90
16,32,4,128,False,0.1,98.87 ± 0.21,67.06 ± 3.36
16,64,4,128,False,0.1,99.13 ± 0.27,80.94 ± 2.07
32,4,4,128,False,0.1,95.24 ± 0.00,63.78 ± 0.00
32,8,4,128,False,0.1,96.19 ± 0.17,62.88 ± 2.24
32,16,4,128,False,0.1,98.18 ± 0.50,68.34 ± 2.16
32,32,4,128,False,0.1,99.13 ± 0.00,80.22 ± 4.50
32,64,4,128,False,0.1,99.48 ± 0.42,86.41 ± 1.65
64,4,4,128,False,0.1,84.33 ± 2.54,87.91 ± 0.07
64,8,4,128,False,0.1,94.46 ± 0.69,72.92 ± 0.62
64,16,4,128,False,0.1,97.75 ± 0.64,78.95 ± 1.25
64,32,4,128,False,0.1,98.70 ± 0.27,85.26 ± 1.03
64,64,4,128,False,0.1,98.35 ± 0.42,82.40 ± 1.10
128,4,4,128,False,0.1,91.69 ± 0.17,93.30 ± 0.30
128,8,4,128,False,0.1,94.03 ± 0.42,80.41 ± 1.56
128,16,4,128,False,0.1,99.22 ± 0.32,89.78 ± 1.02
128,32,4,128,False,0.1,98.96 ± 0.21,94.68 ± 1.11
128,64,4,128,False,0.1,98.79 ± 0.32,87.75 ± 2.22
256,4,4,128,False,0.1,93.85 ± 0.64,96.36 ± 0.17
256,8,4,128,False,0.1,95.15 ± 0.17,82.85 ± 1.63
256,16,4,128,False,0.1,98.87 ± 0.21,89.93 ± 1.31
256,32,4,128,False,0.1,98.79 ± 0.32,93.51 ± 0.91
256,64,4,128,False,0.1,99.05 ± 0.17,92.04 ± 1.37
