n_segments,alphabet_size,n_heads,set_transf_hidden,xil,xil_weight,val_acc,test_acc
16,4,4,128,False,0.1,59.91 ± 0.00,72.80 ± 0.00
16,8,4,128,False,0.1,74.32 ± 0.00,76.42 ± 0.00
16,16,4,128,False,0.1,94.59 ± 0.00,92.14 ± 0.00
16,32,4,128,False,0.1,96.85 ± 0.00,93.18 ± 0.00
16,64,4,128,False,0.1,99.55 ± 0.00,97.06 ± 0.00
32,4,4,128,False,0.1,90.99 ± 0.00,86.53 ± 0.00
32,8,4,128,False,0.1,92.34 ± 0.00,84.63 ± 0.00
32,16,4,128,False,0.1,95.95 ± 0.00,90.85 ± 0.00
32,32,4,128,False,0.1,97.75 ± 0.00,99.05 ± 0.00
32,64,4,128,False,0.1,99.55 ± 0.00,98.27 ± 0.00
64,4,4,128,False,0.1,87.39 ± 0.00,80.22 ± 0.00
64,8,4,128,False,0.1,91.44 ± 0.00,78.32 ± 0.00
64,16,4,128,False,0.1,97.30 ± 0.00,88.00 ± 0.00
64,32,4,128,False,0.1,99.10 ± 0.00,92.14 ± 0.00
64,64,4,128,False,0.1,98.65 ± 0.00,94.99 ± 0.00
128,4,4,128,False,0.1,87.84 ± 0.00,93.87 ± 0.00
128,8,4,128,False,0.1,90.09 ± 0.00,90.16 ± 0.00
128,16,4,128,False,0.1,98.20 ± 0.00,97.06 ± 0.00
128,32,4,128,False,0.1,98.65 ± 0.00,97.06 ± 0.00
128,64,4,128,False,0.1,97.75 ± 0.00,97.32 ± 0.00
256,4,4,128,False,0.1,92.34 ± 0.00,94.73 ± 0.00
256,8,4,128,False,0.1,90.99 ± 0.00,88.77 ± 0.00
256,16,4,128,False,0.1,98.20 ± 0.00,96.72 ± 0.00
256,32,4,128,False,0.1,99.10 ± 0.00,97.32 ± 0.00
256,64,4,128,False,0.1,98.20 ± 0.00,96.80 ± 0.00
