n_segments,alphabet_size,n_heads,set_transf_hidden,xil,xil_weight,val_acc,test_acc
32,64,4,128,True,1e-06,99.48 ± 0.42,86.18 ± 2.24
32,64,4,128,True,5e-06,99.48 ± 0.42,86.18 ± 2.24
32,64,4,128,True,1e-05,99.48 ± 0.42,86.32 ± 1.98
32,64,4,128,True,5e-05,99.48 ± 0.42,86.58 ± 1.78
32,64,4,128,True,0.0001,99.48 ± 0.42,86.74 ± 1.78
32,64,4,128,True,0.0005,99.31 ± 0.21,86.18 ± 2.40
32,64,4,128,True,0.001,99.22 ± 0.17,85.89 ± 2.35
32,64,4,128,True,0.01,93.07 ± 2.55,53.10 ± 6.78
32,64,4,128,True,0.1,88.14 ± 3.10,41.71 ± 4.16
32,64,4,128,True,1,81.56 ± 5.08,38.92 ± 8.59
32,64,4,128,True,10,81.56 ± 5.08,38.92 ± 8.59

n_segments,alphabet_size,n_heads,set_transf_hidden,xil,lr,val_acc,test_acc
32,64,4,128,False,0.0001,99.48 ± 0.42,86.41 ± 1.65
