n_segments,alphabet_size,n_heads,set_transf_hidden,p2s_decoy,xil,xil_weight,val_acc,test_acc
4,4,4,128,True,False,0.0001,72.29 ± 0.00,30.43 ± 4.36
4,8,4,128,True,False,0.0001,77.92 ± 0.00,33.60 ± 0.00
4,16,4,128,True,False,0.0001,95.58 ± 0.42,31.21 ± 0.42
4,32,4,128,True,False,0.0001,97.84 ± 0.00,30.07 ± 1.69
4,64,4,128,True,False,0.0001,97.49 ± 0.17,29.32 ± 0.74
8,4,4,128,True,False,0.0001,84.16 ± 0.35,19.32 ± 1.19
8,8,4,128,True,False,0.0001,84.85 ± 0.00,15.66 ± 0.04
8,16,4,128,True,False,0.0001,94.37 ± 0.00,25.91 ± 0.20
8,32,4,128,True,False,0.0001,96.54 ± 0.27,45.78 ± 2.10
8,64,4,128,True,False,0.0001,96.80 ± 0.21,53.12 ± 1.68
16,4,4,128,True,False,0.0001,90.48 ± 0.00,23.32 ± 8.43
16,8,4,128,True,False,0.0001,91.08 ± 0.85,19.44 ± 1.27
16,16,4,128,True,False,0.0001,97.40 ± 0.00,68.36 ± 0.90
16,32,4,128,True,False,0.0001,98.87 ± 0.21,67.06 ± 3.36
16,64,4,128,True,False,0.0001,99.13 ± 0.27,80.94 ± 2.07
32,4,4,128,True,False,0.0001,95.24 ± 0.00,63.78 ± 0.00
32,8,4,128,True,False,0.0001,96.19 ± 0.17,62.88 ± 2.24
32,16,4,128,True,False,0.0001,98.18 ± 0.50,68.34 ± 2.16
32,32,4,128,True,False,0.0001,99.13 ± 0.00,80.22 ± 4.50
32,64,4,128,True,False,0.0001,99.48 ± 0.42,86.41 ± 1.65
64,4,4,128,True,False,0.0001,84.33 ± 2.54,87.91 ± 0.07
64,8,4,128,True,False,0.0001,94.46 ± 0.69,72.92 ± 0.62
64,16,4,128,True,False,0.0001,97.75 ± 0.64,78.95 ± 1.25
64,32,4,128,True,False,0.0001,98.70 ± 0.27,85.26 ± 1.03
64,64,4,128,True,False,0.0001,98.35 ± 0.42,82.40 ± 1.10
128,4,4,128,True,False,0.0001,91.69 ± 0.17,93.30 ± 0.30
128,8,4,128,True,False,0.0001,94.03 ± 0.42,80.41 ± 1.56
128,16,4,128,True,False,0.0001,99.22 ± 0.32,89.78 ± 1.02
128,32,4,128,True,False,0.0001,98.96 ± 0.21,94.68 ± 1.11
128,64,4,128,True,False,0.0001,98.79 ± 0.32,87.75 ± 2.22
256,4,4,128,True,False,0.0001,93.85 ± 0.64,96.36 ± 0.17
256,8,4,128,True,False,0.0001,95.15 ± 0.17,82.85 ± 1.63
256,16,4,128,True,False,0.0001,98.87 ± 0.21,89.93 ± 1.31
256,32,4,128,True,False,0.0001,98.79 ± 0.32,93.51 ± 0.91
256,64,4,128,True,False,0.0001,99.05 ± 0.17,92.04 ± 1.37
512,4,4,128,True,False,0.0001,94.03 ± 0.69,96.20 ± 0.09
512,8,4,128,True,False,0.0001,94.81 ± 0.55,80.95 ± 1.16
512,16,4,128,True,False,0.0001,98.79 ± 0.17,89.57 ± 1.25
512,32,4,128,True,False,0.0001,98.70 ± 0.27,94.27 ± 1.40
512,64,4,128,True,False,0.0001,99.13 ± 0.00,93.26 ± 1.65
