n_heads,set_transf_hidden,model,p2s_decoy,lr,val_acc,test_acc
4,128,1,False,0.1,55.41 ± 0.00,50.00 ± 0.00
4,128,1,False,0.05,55.41 ± 0.00,50.00 ± 0.00
4,128,1,False,0.01,95.41 ± 2.16,88.91 ± 1.24
4,128,1,False,0.005,96.58 ± 1.84,89.34 ± 1.10
4,128,1,False,0.001,95.50 ± 1.97,87.37 ± 1.47
4,128,1,False,0.0005,96.49 ± 1.92,89.08 ± 1.13
4,128,1,False,0.0001,96.49 ± 1.98,88.95 ± 1.12
4,128,2,False,0.1,55.41 ± 0.00,50.00 ± 0.00
4,128,2,False,0.05,55.41 ± 0.00,50.00 ± 0.00
4,128,2,False,0.01,92.34 ± 2.15,77.88 ± 3.92
4,128,2,False,0.005,93.06 ± 1.63,78.29 ± 3.44
4,128,2,False,0.001,92.34 ± 2.05,79.10 ± 4.05
4,128,2,False,0.0005,91.80 ± 1.79,78.76 ± 3.26
4,128,2,False,0.0001,90.45 ± 2.30,77.22 ± 2.75
