n_segments,alphabet_size,set_heads,test_acc,val_acc
256,10,16,95.164,96.847
128,10,4,95.078,95.946
256,10,4,94.991,96.847
128,4,4,94.819,87.838
128,10,8,94.732,95.946
128,4,1,94.646,87.838
128,4,16,94.646,87.838
128,10,1,94.646,95.946
128,4,8,94.56,87.838
32,10,8,94.473,93.243
128,4,2,94.473,87.838
128,10,2,94.301,95.946
256,4,8,94.214,91.892
128,10,16,94.041,95.946
32,10,1,93.955,93.243
32,10,2,93.869,92.793
256,10,1,93.869,97.297
256,10,8,93.869,96.847
256,4,16,93.696,91.441
32,10,4,93.61,92.793
32,10,16,93.523,92.342
256,10,2,93.523,96.847
256,4,2,93.437,91.441
256,4,1,92.66,90.541
256,4,4,92.228,89.189
64,10,4,91.105,93.243
64,10,2,90.846,95.045
128,8,16,90.587,90.991
64,10,16,90.501,92.793
64,10,1,90.415,95.045
64,10,8,90.328,94.144
256,8,16,90.242,91.892
128,8,4,90.155,90.09
128,8,2,90.069,90.09
256,8,2,89.896,91.892
256,8,8,89.465,91.892
128,8,1,89.206,90.541
256,8,4,89.119,91.892
256,8,1,88.86,91.441
128,8,8,88.428,89.189
32,4,1,87.392,91.441
32,4,8,87.219,91.441
32,4,16,87.219,91.441
32,4,2,86.96,91.441
32,8,8,86.615,92.342
32,4,4,86.528,90.991
32,8,1,86.097,88.739
32,8,16,85.579,91.892
32,8,2,85.492,92.342
32,8,4,84.888,92.793
64,4,16,81.347,89.64
64,8,16,80.138,91.892
64,6,8,80.052,79.73
64,6,4,79.965,79.279
64,8,1,79.879,90.541
64,6,1,79.706,79.279
64,8,8,79.275,90.541
64,6,16,78.929,78.829
64,6,2,78.584,79.73
64,8,4,78.497,91.892
64,4,2,77.893,90.09
64,4,1,76.943,87.838
64,8,2,76.77,89.189
64,4,4,75.475,85.586
64,4,8,75.216,85.586
32,6,4,71.071,76.577
256,6,4,70.984,79.73
128,6,1,70.812,84.234
256,6,16,70.725,79.73
32,6,8,70.38,75.676
32,6,2,70.294,74.324
256,6,2,70.121,80.18
256,6,1,70.035,78.829
32,6,16,69.516,74.324
128,6,2,69.085,84.234
128,6,4,68.998,82.432
32,6,1,68.739,68.468
128,6,16,68.135,81.081
128,6,8,67.703,79.73
256,6,8,65.803,76.577
